Designator,Mid X,Mid Y,Rotation,Layer
C1,139.625,-71.35,270.0,top
C10,154.0,-94.45,180.0,bottom
C11,164.2,-82.325,270.0,bottom
C12,165.85,-82.325,270.0,bottom
C13,146.125,-95.35,90.0,bottom
C14,161.325,-73.7,180.0,bottom
C15,144.025,-95.25,270.0,bottom
C16,161.235,-99.81,180.0,top
C17,159.55,-92.45,90.0,top
C18,154.775,-100.55,90.0,top
C2,157.375,-66.5,270.0,bottom
C3,137.125,-67.05,270.0,top
C4,139.625,-67.05,270.0,top
C5,160.75,-88.275,270.0,bottom
C6,159.15,-88.275,270.0,bottom
C7,144.025,-91.75,90.0,bottom
C8,146.125,-91.75,90.0,bottom
C9,156.075,-82.625,180.0,bottom
D1,141.0716,-97.536,90.0,top
J1,130.5,-81.534,180.0,top
J2,136.4671,-96.3676,270.0,top
J3,172.875,-87.925,90.0,top
J4,172.0275,-97.865,90.0,top
J5,151.395,-107.87,0.0,top
J6,172.875,-79.175,90.0,top
L1,160.85,-82.6,180.0,bottom
L2,151.375,-99.85,0.0,bottom
Q1,138.075,-81.9125,270.0,top
Q2,137.975,-86.4375,90.0,top
R1,137.125,-71.35,90.0,top
R11,164.21,-97.235,90.0,top
R12,152.025,-92.275,90.0,top
R13,137.125,-75.225,270.0,top
R14,139.625,-75.225,270.0,top
R2,134.475,-84.075,90.0,top
R3,141.075,-83.975,270.0,top
R4,151.125,-87.2,180.0,bottom
R5,151.125,-85.65,0.0,bottom
R6,161.325,-78.875,0.0,bottom
R7,161.325,-77.15,180.0,bottom
R8,161.325,-75.475,0.0,bottom
SW1,147.225,-84.875,90.0,top
SW2,159.6,-84.45,90.0,top
U1,151.865,-71.125,0.0,top
U2,156.0625,-86.175,180.0,bottom
U3,149.9875,-93.5,0.0,bottom
U4,160.875,-97.35,270.0,top
U5,155.875,-92.025,0.0,top
U6,150.125,-98.85,180.0,top
